col1,col2,col3,col4,col5,col6,col7,col8,col9,col10
88,2.7,3.4,2.9,4.5,3.2,16.7,0.74,1.50%,Submit
,,,,,,,,,
Collins,,,,,,,,,
DF 5.0,,,,,,,,,
90,3.4,3.3,4.1,2.9,3.1,16.7,0.67,1.90%,Submit
,,,,,,,,,
Van den Berg,,,,,,,,,
DF 4.5,,,,,,,,,
90,3.3,3.3,4.1,3,3,16.7,0.74,0.40%,Submit
,,,,,,,,,
Wilson,,,,,,,,,
MD 5.5,,,,,,,,,
73,3.4,3.9,2.8,3.4,3.2,16.7,0.61,1.20%,Submit
,,,,,,,,,
Tarkowski,,,,,,,,,
DF 5.5,,,,,,,,,
90,3.7,3.6,3.6,3.3,2.4,16.6,0.6,7.20%,Submit
,,,,,,,,,
Mbeumo,,,,,,,,,
MD 8.0,,,,,,,,,
73,3.3,3.3,4.1,2.7,3.3,16.6,0.42,15.00%,Submit
,,,,,,,,,
Minteh,,,,,,,,,
MD 6.0,,,,,,,,,
73,4,3.3,2.9,3,3.4,16.5,0.55,1.30%,Submit
,,,,,,,,,
Petrovi?,,,,,,,,,
GK 4.5,,,,,,,,,
94,2.8,3.8,3.2,3.4,3.2,16.5,0.73,3.40%,Submit
,,,,,,,,,
Pickford,,,,,,,,,
GK 5.5,,,,,,,,,
93,3.4,3.5,3.5,3.4,2.7,16.4,0.6,12.00%,Submit
,,,,,,,,,
Tonali,,,,,,,,,
MD 5.5,,,,,,,,,
90,3.4,3,3.4,3.6,3.1,16.4,0.6,2.00%,Submit
,,,,,,,,,
Kilman,,,,,,,,,
DF 4.5,,,,,,,,,
88,4,2.8,3.1,3.2,3.2,16.4,0.73,0.30%,Submit
,,,,,,,,,
Verbruggen,,,,,,,,,
GK 4.5,,,,,,,,,
94,3.7,3.3,3,3,3.4,16.4,0.73,8.10%,Submit
,,,,,,,,,
Leno,,,,,,,,,
GK 5.0,,,,,,,,,
93,3.1,3.4,2.9,3.6,3.3,16.4,0.66,1.70%,Submit
,,,,,,,,,
Szoboszlai,,,,,,,,,
MD 6.5,,,,,,,,,
67,4.1,2.8,2.8,3,3.7,16.4,0.5,2.10%,Submit
,,,,,,,,,
Vicario,,,,,,,,,
GK 5.0,,,,,,,,,
93,3.9,2.9,3.4,3.2,3.1,16.4,0.65,3.90%,Submit
,,,,,,,,,
Anthony,,,,,,,,,
MD 5.5,,,,,,,,,
72,3.2,4.2,3,2.7,3.2,16.3,0.59,0.10%,Submit
,,,,,,,,,
A�t-Nouri,,,,,,,,,
DF 6.0,,,,,,,,,
70,3.8,3.9,3,3.4,2.1,16.1,0.54,20.50%,Submit
,,,,,,,,,
Wan-Bissaka,,,,,,,,,
DF 4.5,,,,,,,,,
91,4.1,2.8,2.9,3.3,3.1,16.1,0.72,27.60%,Submit
,,,,,,,,,
Konsa,,,,,,,,,
DF 4.5,,,,,,,,,
89,3.1,2.9,3.2,3,3.8,16.1,0.71,23.80%,Submit
,,,,,,,,,
Gomes,,,,,,,,,
MD 5.5,,,,,,,,,
84,3.1,3.3,3.3,3,3.4,16,0.58,0.10%,Submit
,,,,,,,,,
Senesi,,,,,,,,,
DF 4.5,,,,,,,,,
84,2.4,4,3.2,3.4,3.1,16,0.71,0.60%,Submit
,,,,,,,,,
Kelleher,,,,,,,,,
GK 4.5,,,,,,,,,
95,2.6,3.3,3.8,3.1,3.2,15.9,0.71,15.30%,Submit
,,,,,,,,,
Jos� S�,,,,,,,,,
GK 4.5,,,,,,,,,
93,3,3,3.5,2.9,3.4,15.8,0.7,2.20%,Submit
,,,,,,,,,
Est�ve,,,,,,,,,
DF 4.0,,,,,,,,,
91,3,4.2,2.9,2.4,3.3,15.8,0.79,19.20%,Submit
,,,,,,,,,
Henderson,,,,,,,,,
GK 5.0,,,,,,,,,
87,2.8,3.5,2.8,3.7,3,15.8,0.63,6.60%,Submit
,,,,,,,,,
Gana,,,,,,,,,
MD 5.5,,,,,,,,,
88,3.4,3.2,3.3,3.1,2.8,15.8,0.57,0.10%,Submit
,,,,,,,,,
Reijnders,,,,,,,,,
MD 5.5,,,,,,,,,
76,3.6,3.5,3.1,3.2,2.4,15.7,0.57,15.50%,Submit
,,,,,,,,,
Adingra,,,,,,,,,
MD 5.5,,,,,,,,,
81,3.6,3.2,3.2,2.7,3,15.7,0.57,1.80%,Submit
,,,,,,,,,
Van Hecke,,,,,,,,,
DF 4.5,,,,,,,,,
90,3.7,3.3,2.6,2.9,3.2,15.7,0.7,1.20%,Submit
,,,,,,,,,
Perri,,,,,,,,,
GK 4.5,,,,,,,,,
88,3.5,2.7,3.1,3.1,3.1,15.5,0.69,0.40%,Submit
,,,,,,,,,
Agbadou,,,,,,,,,
DF 4.5,,,,,,,,,
91,2.8,3,3.7,2.6,3.5,15.5,0.69,0.20%,Submit
,,,,,,,,,
Hall,,,,,,,,,
DF 5.5,,,,,,,,,
66,2.4,2.7,3.6,3.9,3,15.5,0.56,2.30%,Submit
,,,,,,,,,
Aina,,,,,,,,,
DF 5.0,,,,,,,,,
91,3.6,2.9,3.5,2.2,3.3,15.5,0.62,16.00%,Submit
,,,,,,,,,
Pope,,,,,,,,,
GK 5.0,,,,,,,,,
87,3,2.8,3.2,3.4,2.9,15.3,0.61,3.50%,Submit
,,,,,,,,,
Elanga,,,,,,,,,
MD 7.0,,,,,,,,,
61,3.1,3.1,3.4,3.2,2.5,15.2,0.43,9.10%,Submit
,,,,,,,,,
Cash,,,,,,,,,
DF 4.5,,,,,,,,,
77,2.9,2.7,3.1,2.9,3.5,15.2,0.68,1.80%,Submit
,,,,,,,,,
Roefs,,,,,,,,,
GK 4.5,,,,,,,,,
91,3.2,3.2,3.1,2.8,2.9,15.1,0.67,0.20%,Submit
,,,,,,,,,
McGinn,,,,,,,,,
MD 5.5,,,,,,,,,
66,3.1,2.7,3,2.9,3.4,15.1,0.55,0.70%,Submit
,,,,,,,,,
Dewsbury-Hall,,,,,,,,,
MD 5.0,,,,,,,,,
68,3.1,3.2,3.2,3.2,2.5,15.1,0.61,4.10%,Submit
,,,,,,,,,
Romero,,,,,,,,,
DF 5.0,,,,,,,,,
88,4,2.2,3.3,3,2.7,15.1,0.61,2.90%,Submit
,,,,,,,,,
�e�ko,,,,,,,,,
FW 7.5,,,,,,,,,
48,2.3,2.8,4,2.7,3.2,15.1,0.4,7.00%,Submit
,,,,,,,,,
Baleba,,,,,,,,,
MD 5.0,,,,,,,,,
83,3.3,3,2.7,2.9,3.1,15.1,0.6,5.10%,Submit
,,,,,,,,,
Dorgu,,,,,,,,,
DF 4.5,,,,,,,,,
85,2.9,3.1,4.3,2.1,2.7,15,0.67,6.70%,Submit
,,,,,,,,,
Wharton,,,,,,,,,
MD 5.0,,,,,,,,,
75,2.8,3,2.9,3.4,2.9,15,0.6,0.60%,Submit
,,,,,,,,,
Hudson-Odoi,,,,,,,,,
MD 6.0,,,,,,,,,
71,3.5,2.9,3.2,2.5,3,15,0.5,1.40%,Submit
,,,,,,,,,
James,,,,,,,,,
DF 5.5,,,,,,,,,
69,3.5,3,3.3,2.5,2.5,14.8,0.54,5.00%,Submit
,,,,,,,,,
Diouf,,,,,,,,,
DF 4.5,,,,,,,,,
75,3.9,2.7,2.6,2.8,2.7,14.8,0.66,7.10%,Submit
,,,,,,,,,
Gvardiol,,,,,,,,,
DF 6.0,,,,,,,,,
47,2.2,3.1,3,3.8,2.6,14.8,0.49,16.30%,Submit
,,,,,,,,,
Zubimendi,,,,,,,,,
MD 5.5,,,,,,,,,
76,2.9,3.2,2.7,3.1,2.8,14.7,0.53,2.10%,Submit
,,,,,,,,,
Welbeck,,,,,,,,,
FW 6.5,,,,,,,,,
48,3,2.7,2.7,3,3.3,14.7,0.45,5.30%,Submit
,,,,,,,,,
Mitchell,,,,,,,,,
DF 5.0,,,,,,,,,
74,2.2,3.3,2.3,4,2.8,14.7,0.59,1.20%,Submit
,,,,,,,,,
Andr�,,,,,,,,,
MD 5.5,,,,,,,,,
87,2.9,3,3,2.7,3.1,14.6,0.53,0.10%,Submit
,,,,,,,,,
Truffert,,,,,,,,,
DF 4.5,,,,,,,,,
88,1.9,4,2.7,3.1,2.9,14.6,0.65,0.80%,Submit
,,,,,,,,,
N.Aguerd,,,,,,,,,
DF 4.5,,,,,,,,,
76,3.6,2.5,2.6,2.9,2.8,14.5,0.64,0.10%,Submit
,,,,,,,,,
R�ben,,,,,,,,,
DF 5.5,,,,,,,,,
82,3.5,3.3,2.7,3,2,14.4,0.53,2.70%,Submit
,,,,,,,,,
Guessand,,,,,,,,,
MD 6.5,,,,,,,,,
42,2.4,2.6,2.9,3,3.6,14.4,0.44,0.10%,Submit
,,,,,,,,,
Ekdal,,,,,,,,,
DF 4.0,,,,,,,,,
85,2.9,4.1,2.6,2.2,2.7,14.4,0.72,0.20%,Submit
,,,,,,,,,
Xhaka,,,,,,,,,
MD 5.0,,,,,,,,,
88,3.1,2.8,2.9,2.8,2.7,14.4,0.58,2.80%,Submit
,,,,,,,,,
Stach,,,,,,,,,
MD 5.0,,,,,,,,,
79,3.3,2.6,3,2.7,2.8,14.4,0.57,0.30%,Submit
,,,,,,,,,
Onana,,,,,,,,,
GK 5.0,,,,,,,,,
86,1.4,3,3.9,2.8,3.2,14.4,0.57,0.10%,Submit
,,,,,,,,,
O.Dango,,,,,,,,,
MD 6.0,,,,,,,,,
22,0.7,3.2,4.2,3.3,3.1,14.4,0.48,0.20%,Submit
,,,,,,,,,
James,,,,,,,,,
MD 5.5,,,,,,,,,
66,3.5,2.4,2.8,2.7,2.9,14.3,0.52,0.60%,Submit
,,,,,,,,,
Martinez,,,,,,,,,
GK 5.0,,,,,,,,,
0,0,3.3,3.6,3.4,3.9,14.2,0.57,0.50%,Submit
,,,,,,,,,
Kerkez,,,,,,,,,
DF 6.0,,,,,,,,,
69,3.3,2.3,2.5,2.9,3.3,14.2,0.47,7.60%,Submit
,,,,,,,,,
Gabriel,,,,,,,,,
DF 6.0,,,,,,,,,
87,3.7,0.7,2.5,4.1,3.1,14.2,0.47,18.90%,Submit
,,,,,,,,,
Todibo,,,,,,,,,
DF 4.5,,,,,,,,,
83,3.7,2.4,2.7,2.7,2.6,14.1,0.63,0.10%,Submit
,,,,,,,,,
Bassey,,,,,,,,,
DF 4.5,,,,,,,,,
91,2.6,3.1,2.2,3.3,2.9,14.1,0.63,0.50%,Submit
,,,,,,,,,
Diakit�,,,,,,,,,
DF 4.5,,,,,,,,,
52,1.2,3.8,2.8,3.3,3,14.1,0.63,0.10%,Submit
,,,,,,,,,
De Ligt,,,,,,,,,
DF 5.0,,,,,,,,,
86,2.7,3,3.7,2.1,2.6,14.1,0.56,1.30%,Submit
,,,,,,,,,
De Cuyper,,,,,,,,,
DF 4.5,,,,,,,,,
76,3.5,2.9,2.2,2.5,3,14.1,0.63,6.90%,Submit
,,,,,,,,,
Kamara,,,,,,,,,
MD 5.0,,,,,,,,,
77,2.8,2.8,2.9,2.7,2.9,14,0.56,0.20%,Submit
,,,,,,,,,
Ward-Prowse,,,,,,,,,
MD 6.0,,,,,,,,,
66,3.1,2.7,2.7,2.8,2.8,14,0.47,0.40%,Submit
,,,,,,,,,
Edwards,,,,,,,,,
MD 5.0,,,,,,,,,
65,2.9,3.7,2.4,2.4,2.6,14,0.56,0.10%,Submit
,,,,,,,,,
Toti,,,,,,,,,
DF 4.5,,,,,,,,,
91,2.4,2.6,3.3,2.3,3.3,13.9,0.62,0.20%,Submit
,,,,,,,,,
Tel,,,,,,,,,
MD 6.5,,,,,,,,,
54,3.7,2.4,3,2.6,2.3,13.9,0.43,0.10%,Submit
,,,,,,,,,
Grealish,,,,,,,,,
MD 6.5,,,,,,,,,
56,2.5,2.9,2.9,3,2.4,13.9,0.43,3.30%,Submit
,,,,,,,,,
Cullen,,,,,,,,,
MD 5.0,,,,,,,,,
88,2.8,3.1,2.7,2.5,2.8,13.9,0.55,0.10%,Submit
,,,,,,,,,
Hermansen,,,,,,,,,
GK 4.5,,,,,,,,,
46,1.8,2.9,2.9,3,3.1,13.8,0.61,0.30%,Submit
,,,,,,,,,
Luki?,,,,,,,,,
MD 5.0,,,,,,,,,
81,2.8,2.9,2.4,2.8,2.8,13.8,0.55,0.10%,Submit
,,,,,,,,,
Bentancur,,,,,,,,,
MD 5.5,,,,,,,,,
79,3.2,2.6,2.9,2.5,2.5,13.8,0.5,0.10%,Submit
,,,,,,,,,
Diarra,,,,,,,,,
MD 5.5,,,,,,,,,
77,3.1,2.8,2.8,2.6,2.5,13.7,0.5,0.10%,Submit
,,,,,,,,,
Livramento,,,,,,,,,
DF 5.0,,,,,,,,,
79,2.6,2.3,2.8,3.4,2.6,13.7,0.55,3.80%,Submit
,,,,,,,,,
Rodon,,,,,,,,,
DF 4.0,,,,,,,,,
91,3.4,2.1,2.6,2.6,2.8,13.5,0.67,1.90%,Submit
,,,,,,,,,
O'Brien,,,,,,,,,
DF 5.0,,,,,,,,,
89,3.1,2.9,2.9,2.9,1.6,13.4,0.54,0.60%,Submit
,,,,,,,,,
Hume,,,,,,,,,
DF 4.5,,,,,,,,,
90,3.1,3,2.7,2.1,2.3,13.2,0.59,0.20%,Submit
,,,,,,,,,
Flemming,,,,,,,,,
FW 5.5,,,,,,,,,
48,2.4,3.4,2.6,2.3,2.6,13.2,0.48,0.20%,Submit
,,,,,,,,,
Pau,,,,,,,,,
DF 4.5,,,,,,,,,
78,2.7,2.4,2.6,2.5,3,13.2,0.59,0.50%,Submit
,,,,,,,,,
Van de Ven,,,,,,,,,
DF 4.5,,,,,,,,,
87,3.7,1.8,2.9,2.6,2.2,13.1,0.58,25.90%,Submit
,,,,,,,,,
Lewis-Skelly,,,,,,,,,
DF 5.5,,,,,,,,,
66,2.7,3.6,1.8,2.9,2.1,13.1,0.48,4.50%,Submit
,,,,,,,,,
Hannibal,,,,,,,,,
MD 5.0,,,,,,,,,
65,2.6,3.2,2.5,2.3,2.5,13.1,0.52,0.20%,Submit
,,,,,,,,,
Tete,,,,,,,,,
DF 4.5,,,,,,,,,
71,2.6,3,1.9,2.9,2.7,13.1,0.58,0.20%,Submit
,,,,,,,,,
D�bravka,,,,,,,,,
GK 4.0,,,,,,,,,
42,1.4,2.7,2.9,2.7,3.3,13.1,0.65,31.30%,Submit
,,,,,,,,,
Garner,,,,,,,,,
MD 5.0,,,,,,,,,
77,2.9,2.8,2.6,2.6,2.2,13.1,0.52,0.10%,Submit
,,,,,,,,,
Foden,,,,,,,,,
MD 8.0,,,,,,,,,
28,1.4,2.8,3,3.2,2.4,13,0.32,1.30%,Submit
,,,,,,,,,
Gudmundsson,,,,,,,,,
DF 4.0,,,,,,,,,
83,3.6,1.7,2.5,2.4,2.7,12.9,0.64,2.70%,Submit
,,,,,,,,,
Bernardo,,,,,,,,,
MD 6.5,,,,,,,,,
70,3.1,2.9,2.5,2.6,1.7,12.9,0.4,0.80%,Submit
,,,,,,,,,
Amad,,,,,,,,,
MD 6.5,,,,,,,,,
60,2.6,2.6,3.1,2.1,2.5,12.8,0.39,3.30%,Submit
,,,,,,,,,
Talbi,,,,,,,,,
MD 5.0,,,,,,,,,
66,2.9,2.6,2.5,2.4,2.4,12.7,0.51,0.20%,Submit
,,,,,,,,,
P.M.Sarr,,,,,,,,,
MD 5.0,,,,,,,,,
63,3,2.1,2.6,2.5,2.4,12.6,0.5,2.70%,Submit
,,,,,,,,,
Walker,,,,,,,,,
DF 4.5,,,,,,,,,
87,2.3,3.8,2.2,1.7,2.6,12.5,0.56,1.90%,Submit
,,,,,,,,,
Barnes,,,,,,,,,
MD 6.5,,,,,,,,,
57,3,2.5,2.9,2.1,2,12.5,0.39,0.60%,Submit
,,,,,,,,,
Henry,,,,,,,,,
DF 4.5,,,,,,,,,
72,2.5,2.6,3.3,2.1,2.1,12.5,0.56,0.20%,Submit
,,,,,,,,,
Hartman,,,,,,,,,
DF 4.0,,,,,,,,,
74,2.3,3.8,2.2,1.7,2.3,12.4,0.62,0.50%,Submit
,,,,,,,,,
Berge,,,,,,,,,
MD 5.0,,,,,,,,,
69,2.3,2.7,2.4,2.5,2.6,12.4,0.5,0.10%,Submit
,,,,,,,,,
Ballard,,,,,,,,,
DF 4.5,,,,,,,,,
90,3,2.8,2.6,2.1,2,12.4,0.55,0.20%,Submit
,,,,,,,,,
Mykolenko,,,,,,,,,
DF 5.0,,,,,,,,,
60,1.7,3.2,3,2.8,1.7,12.3,0.49,1.50%,Submit
,,,,,,,,,
Chalobah,,,,,,,,,
DF 5.0,,,,,,,,,
74,3.2,2.6,2.7,1.9,1.8,12.3,0.49,1.00%,Submit
,,,,,,,,,
J.Palhinha,,,,,,,,,
MD 5.5,,,,,,,,,
65,2.6,2.3,2.6,2.4,2.4,12.3,0.45,0.40%,Submit
,,,,,,,,,
Gravenberch,,,,,,,,,
MD 5.5,,,,,,,,,
0,0,2.9,2.9,3.2,3.2,12.3,0.45,0.10%,Submit
,,,,,,,,,
Barry,,,,,,,,,
FW 6.0,,,,,,,,,
